customerId,recommendedProducts
6395,132|37|0|34|248|3|230|110|27|32
6427,132|0|34|248|3|230|110|27|32|245
6430,132|37|0|34|248|3|230|110|27|32
6443,132|37|0|34|248|3|230|110|27|32
6455,132|37|0|34|248|3|230|110|27|32
6560,132|37|0|34|248|3|230|110|27|32
6577,132|37|0|34|248|3|230|110|27|32
6591,132|37|34|0|248|3|230|110|27|32
6646,132|37|0|34|248|3|230|110|27|32
6649,132|37|0|34|248|3|230|110|27|32
6655,132|37|0|34|248|3|230|110|27|32
6657,132|37|0|34|248|230|110|27|32|245
6665,132|37|0|34|248|3|230|110|27|32
6680,132|37|0|34|248|3|230|110|27|32
6701,132|37|34|248|3|230|110|27|32|245
6730,132|37|0|34|248|3|230|110|27|32
6769,132|37|0|34|248|3|230|110|27|32
6774,132|37|0|34|248|230|110|27|32|10
6777,132|37|0|34|248|3|230|110|27|32
6782,132|37|0|34|248|230|110|27|32|245
6787,132|37|0|34|248|3|230|110|27|32
6795,132|37|0|34|248|3|230|110|27|32
6799,132|37|0|34|248|3|230|110|27|32
6803,132|37|0|34|248|3|230|110|27|32
6827,132|37|0|34|248|3|230|110|27|32
6829,132|37|0|34|248|3|230|110|27|32
6834,132|37|0|34|248|3|230|110|27|32
6851,132|37|0|34|248|3|230|110|27|32
6878,132|37|0|34|248|3|230|110|27|32
6884,132|37|34|248|3|230|110|27|32|245
6917,132|37|34|248|3|230|110|27|32|245
6961,132|37|0|34|248|3|230|110|27|32
6967,132|37|0|34|248|3|230|110|27|32
6975,132|37|0|34|248|3|230|110|27|32
6977,132|37|0|34|248|3|230|110|27|32
6997,132|37|0|34|248|3|230|110|27|32
7005,132|37|0|34|248|3|230|110|27|32
7011,132|37|0|34|248|3|230|110|27|32
7034,132|37|0|34|248|3|230|110|27|32
7041,132|37|0|34|248|230|110|27|32|245
7062,132|37|0|34|248|3|230|110|27|32
7065,132|37|0|34|248|3|230|110|27|32
7096,132|37|34|248|3|230|110|27|32|245
7106,132|37|0|34|248|3|230|110|27|32
7118,132|37|0|34|248|3|230|110|27|32
7133,132|37|0|34|248|3|230|110|27|32
7153,132|37|0|34|3|230|110|27|32|245
7175,132|37|0|34|248|3|230|110|27|32
7180,132|37|0|34|248|3|230|110|27|32
7207,132|37|0|34|248|3|230|110|27|32
7228,132|37|0|34|248|3|230|110|27|32
